Microsoft (R) Windows Script Host Version 5.812
Copyright (C) Microsoft Corporation. All rights reserved.

year 2022, quarter 1, ticker AAF, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker AZI, open 47, close 47, change 0, change% 0
year 2022, quarter 1, ticker AZP, open 35, close 35, change 0, change% 0
year 2022, quarter 1, ticker AZTM, open 29, close 29, change 0, change% 0
year 2022, quarter 1, ticker BBD, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker BBN, open 27, close 27, change 0, change% 0
year 2022, quarter 1, ticker BCA, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker BCY, open 40, close 40, change 0, change% 0
year 2022, quarter 1, ticker BDNG, open 43, close 44, change 1, change% 2.32558139534884
year 2022, quarter 1, ticker BEK, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker BFA, open 6, close 5, change -1, change% -16.6666666666667
year 2022, quarter 1, ticker BFR, open 23, close 21, change -2, change% -8.69565217391304
year 2022, quarter 1, ticker BGC, open 120, close 122, change 2, change% 1.66666666666667
year 2022, quarter 1, ticker BGI, open 6, close 4, change -2, change% -33.3333333333333
year 2022, quarter 1, ticker BGN, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker BGO, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker BHH, open 4, close 3, change -1, change% -25
year 2022, quarter 1, ticker BHK, open 54, close 55, change 1, change% 1.85185185185185
year 2022, quarter 1, ticker BIA, open 93, close 92, change -1, change% -1.0752688172043
year 2022, quarter 1, ticker BIE, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker BIQ, open 64, close 64, change 0, change% 0
year 2022, quarter 1, ticker BJB, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker BJN, open 14, close 13, change -1, change% -7.14285714285714
year 2022, quarter 1, ticker BJQ, open 39, close 43, change 4, change% 10.2564102564103
year 2022, quarter 1, ticker BJX, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker BKE, open 28, close 27, change -1, change% -3.57142857142857
year 2022, quarter 1, ticker BKI, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker BLAF, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker BLC, open 18, close 19, change 1, change% 5.55555555555556
year 2022, quarter 1, ticker BML, open 21, close 22, change 1, change% 4.76190476190476
year 2022, quarter 1, ticker BMZ, open 259, close 259, change 0, change% 0
year 2022, quarter 1, ticker BNI, open 56, close 54, change -2, change% -3.57142857142857
year 2022, quarter 1, ticker BQG, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker BQL, open 99, close 103, change 4, change% 4.04040404040404
year 2022, quarter 1, ticker BQU, open 78, close 78, change 0, change% 0
year 2022, quarter 1, ticker BRH, open 34, close 32, change -2, change% -5.88235294117647
year 2022, quarter 1, ticker BRI, open 5, close 4, change -1, change% -20
year 2022, quarter 1, ticker BSR, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker BTK, open 9, close 7, change -2, change% -22.2222222222222
year 2022, quarter 1, ticker BUP, open 12, close 11, change -1, change% -8.33333333333333
year 2022, quarter 1, ticker BVA, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker BVN, open 251, close 253, change 2, change% 0.796812749003984
year 2022, quarter 1, ticker BVW, open 60, close 58, change -2, change% -3.33333333333333
year 2022, quarter 1, ticker BVY, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker BWW, open 10, close 11, change 1, change% 10
year 2022, quarter 1, ticker BXMT, open 36, close 35, change -1, change% -2.77777777777778
year 2022, quarter 1, ticker BYAG, open 14, close 13, change -1, change% -7.14285714285714
year 2022, quarter 1, ticker BYK, open 16, close 17, change 1, change% 6.25
year 2022, quarter 1, ticker BYW, open 42, close 41, change -1, change% -2.38095238095238
year 2022, quarter 1, ticker BZA, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker BZG, open 17, close 16, change -1, change% -5.88235294117647
year 2022, quarter 1, ticker BZJ, open 23, close 19, change -4, change% -17.3913043478261
year 2022, quarter 1, ticker BZO, open 85, close 85, change 0, change% 0
year 2022, quarter 1, ticker BZR, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker BZXX, open 14, close 15, change 1, change% 7.14285714285714
year 2022, quarter 1, ticker BZY, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker CAZ, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker CBH, open 53, close 54, change 1, change% 1.88679245283019
year 2022, quarter 1, ticker CBS, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker CBU, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker CBZ, open 24, close 23, change -1, change% -4.16666666666667
year 2022, quarter 1, ticker CCC, open 13, close 17, change 4, change% 30.7692307692308
year 2022, quarter 1, ticker CCQ, open 8, close 7, change -1, change% -12.5
year 2022, quarter 1, ticker CDFC, open 103, close 104, change 1, change% 0.970873786407767
year 2022, quarter 1, ticker CDWM, open 63, close 61, change -2, change% -3.17460317460317
year 2022, quarter 1, ticker CDX, open 42, close 45, change 3, change% 7.14285714285714
year 2022, quarter 1, ticker CDZ, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker CEA, open 47, close 47, change 0, change% 0
year 2022, quarter 1, ticker CEJ, open 82, close 80, change -2, change% -2.4390243902439
year 2022, quarter 1, ticker CEM, open 30, close 31, change 1, change% 3.33333333333333
year 2022, quarter 1, ticker CEUX, open 34, close 35, change 1, change% 2.94117647058824
year 2022, quarter 1, ticker CHC, open 16, close 18, change 2, change% 12.5
year 2022, quarter 1, ticker CHKI, open 520, close 514, change -6, change% -1.15384615384615
year 2022, quarter 1, ticker CIQ, open 13, close 14, change 1, change% 7.69230769230769
year 2022, quarter 1, ticker CIU, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker CJ, open 16, close 15, change -1, change% -6.25
year 2022, quarter 1, ticker CJOH, open 9, close 10, change 1, change% 11.1111111111111
year 2022, quarter 1, ticker CJY, open 42, close 42, change 0, change% 0
year 2022, quarter 1, ticker CKM, open 16, close 15, change -1, change% -6.25
year 2022, quarter 1, ticker CKQ, open 38, close 37, change -1, change% -2.63157894736842
year 2022, quarter 1, ticker CKV, open 16, close 14, change -2, change% -12.5
year 2022, quarter 1, ticker CLB, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker CLD, open 48, close 54, change 6, change% 12.5
year 2022, quarter 1, ticker CLM, open 29, close 26, change -3, change% -10.3448275862069
year 2022, quarter 1, ticker CLX, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker CMG, open 38, close 38, change 0, change% 0
year 2022, quarter 1, ticker CMS, open 36, close 36, change 0, change% 0
year 2022, quarter 1, ticker CNC, open 105, close 101, change -4, change% -3.80952380952381
year 2022, quarter 1, ticker COH, open 37, close 36, change -1, change% -2.7027027027027
year 2022, quarter 1, ticker CPA, open 16, close 15, change -1, change% -6.25
year 2022, quarter 1, ticker CPWA, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker CQF, open 203, close 205, change 2, change% 0.985221674876847
year 2022, quarter 1, ticker CQQ, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker CRAZ, open 157, close 153, change -4, change% -2.54777070063694
year 2022, quarter 1, ticker CRT, open 10, close 9, change -1, change% -10
year 2022, quarter 1, ticker CSV, open 54, close 59, change 5, change% 9.25925925925926
year 2022, quarter 1, ticker CSX, open 407, close 404, change -3, change% -0.737100737100737
year 2022, quarter 1, ticker CSYU, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker CTB, open 43, close 43, change 0, change% 0
year 2022, quarter 1, ticker CTW, open 19, close 22, change 3, change% 15.7894736842105
year 2022, quarter 1, ticker CTZ, open 25, close 23, change -2, change% -8
year 2022, quarter 1, ticker CUF, open 17, close 15, change -2, change% -11.7647058823529
year 2022, quarter 1, ticker CUHJ, open 30, close 30, change 0, change% 0
year 2022, quarter 1, ticker CUO, open 1, close 1, change 0, change% 0
year 2022, quarter 1, ticker CVE, open 77, close 77, change 0, change% 0
year 2022, quarter 1, ticker CVN, open 47, close 47, change 0, change% 0
year 2022, quarter 1, ticker CVP, open 12, close 10, change -2, change% -16.6666666666667
year 2022, quarter 1, ticker CVR, open 19, close 20, change 1, change% 5.26315789473684
year 2022, quarter 1, ticker CWL, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker CWN, open 167, close 158, change -9, change% -5.38922155688623
year 2022, quarter 1, ticker CWY, open 4, close 5, change 1, change% 25
year 2022, quarter 1, ticker CXD, open 21, close 23, change 2, change% 9.52380952380952
year 2022, quarter 1, ticker CXH, open 42, close 43, change 1, change% 2.38095238095238
year 2022, quarter 1, ticker CYD, open 30, close 29, change -1, change% -3.33333333333333
year 2022, quarter 1, ticker CYJ, open 21, close 20, change -1, change% -4.76190476190476
year 2022, quarter 1, ticker CYR, open 54, close 58, change 4, change% 7.40740740740741
year 2022, quarter 1, ticker CYT, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker CZ, open 35, close 34, change -1, change% -2.85714285714286
year 2022, quarter 1, ticker CZG, open 76, close 75, change -1, change% -1.31578947368421
year 2022, quarter 1, ticker DAOG, open 34, close 34, change 0, change% 0
year 2022, quarter 1, ticker DAV, open 25, close 25, change 0, change% 0
year 2022, quarter 1, ticker DCE, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker DCJ, open 11, close 10, change -1, change% -9.09090909090909
year 2022, quarter 1, ticker DCS, open 23, close 23, change 0, change% 0
year 2022, quarter 1, ticker DCYK, open 19, close 19, change 0, change% 0
year 2022, quarter 1, ticker DDA, open 26, close 26, change 0, change% 0
year 2022, quarter 1, ticker DDL, open 24, close 24, change 0, change% 0
year 2022, quarter 1, ticker DFC, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker DFG, open 27, close 24, change -3, change% -11.1111111111111
year 2022, quarter 1, ticker DFS, open 53, close 51, change -2, change% -3.77358490566038
year 2022, quarter 1, ticker DFW, open 24, close 23, change -1, change% -4.16666666666667
year 2022, quarter 1, ticker DHN, open 21, close 21, change 0, change% 0
year 2022, quarter 1, ticker DHV, open 36, close 35, change -1, change% -2.77777777777778
year 2022, quarter 1, ticker DJD, open 30, close 29, change -1, change% -3.33333333333333
year 2022, quarter 1, ticker DJF, open 62, close 70, change 8, change% 12.9032258064516
year 2022, quarter 1, ticker DJM, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker DKA, open 11, close 12, change 1, change% 9.09090909090909
year 2022, quarter 1, ticker DKC, open 128, close 126, change -2, change% -1.5625
year 2022, quarter 1, ticker DKJ, open 31, close 31, change 0, change% 0
year 2022, quarter 1, ticker DKO, open 42, close 39, change -3, change% -7.14285714285714
year 2022, quarter 1, ticker DLE, open 23, close 23, change 0, change% 0
year 2022, quarter 1, ticker DLJ, open 26, close 28, change 2, change% 7.69230769230769
year 2022, quarter 1, ticker DLS, open 30, close 34, change 4, change% 13.3333333333333
year 2022, quarter 1, ticker DLZ, open 150, close 152, change 2, change% 1.33333333333333
year 2022, quarter 1, ticker DNF, open 50, close 51, change 1, change% 2
year 2022, quarter 1, ticker DNFC, open 26, close 24, change -2, change% -7.69230769230769
year 2022, quarter 1, ticker DNKQ, open 17, close 16, change -1, change% -5.88235294117647
year 2022, quarter 1, ticker DNR, open 11, close 10, change -1, change% -9.09090909090909
year 2022, quarter 1, ticker DNW, open 35, close 32, change -3, change% -8.57142857142857
year 2022, quarter 1, ticker DOVY, open 72, close 71, change -1, change% -1.38888888888889
year 2022, quarter 1, ticker DPE, open 46, close 54, change 8, change% 17.3913043478261
year 2022, quarter 1, ticker DPI, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker DPL, open 16, close 17, change 1, change% 6.25
year 2022, quarter 1, ticker DQPQ, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker DQY, open 33, close 34, change 1, change% 3.03030303030303
year 2022, quarter 1, ticker DQZ, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker DRG, open 10, close 6, change -4, change% -40
year 2022, quarter 1, ticker DRU, open 19, close 18, change -1, change% -5.26315789473684
year 2022, quarter 1, ticker DRXJ, open 56, close 53, change -3, change% -5.35714285714286
year 2022, quarter 1, ticker DSD, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker DSS, open 52, close 50, change -2, change% -3.84615384615385
year 2022, quarter 1, ticker DTQH, open 27, close 28, change 1, change% 3.7037037037037
year 2022, quarter 1, ticker DUH, open 14, close 15, change 1, change% 7.14285714285714
year 2022, quarter 1, ticker DUY, open 19, close 17, change -2, change% -10.5263157894737
year 2022, quarter 1, ticker DV, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker DVA, open 271, close 283, change 12, change% 4.4280442804428
year 2022, quarter 1, ticker DVUH, open 21, close 21, change 0, change% 0
year 2022, quarter 1, ticker DWG, open 38, close 38, change 0, change% 0
year 2022, quarter 1, ticker DWO, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker DWR, open 33, close 35, change 2, change% 6.06060606060606
year 2022, quarter 1, ticker DXG, open 6, close 8, change 2, change% 33.3333333333333
year 2022, quarter 1, ticker DXO, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker DYI, open 58, close 57, change -1, change% -1.72413793103448
year 2022, quarter 1, ticker DZC, open 23, close 22, change -1, change% -4.34782608695652
year 2022, quarter 1, ticker DZDE, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker EAA, open 28, close 29, change 1, change% 3.57142857142857
year 2022, quarter 1, ticker EAWP, open 41, close 41, change 0, change% 0
year 2022, quarter 1, ticker EB, open 33, close 34, change 1, change% 3.03030303030303
year 2022, quarter 1, ticker EBA, open 16, close 15, change -1, change% -6.25
year 2022, quarter 1, ticker EBE, open 42, close 48, change 6, change% 14.2857142857143
year 2022, quarter 1, ticker EBY, open 55, close 55, change 0, change% 0
year 2022, quarter 1, ticker EDL, open 44, close 43, change -1, change% -2.27272727272727
year 2022, quarter 1, ticker EEJ, open 27, close 25, change -2, change% -7.40740740740741
year 2022, quarter 1, ticker EFA, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker EFG, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker EFI, open 120, close 114, change -6, change% -5
year 2022, quarter 1, ticker EFO, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker EFSN, open 36, close 37, change 1, change% 2.77777777777778
year 2022, quarter 1, ticker EGT, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker EHC, open 53, close 52, change -1, change% -1.88679245283019
year 2022, quarter 1, ticker EHRD, open 31, close 31, change 0, change% 0
year 2022, quarter 1, ticker EHT, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker EHW, open 53, close 53, change 0, change% 0
year 2022, quarter 1, ticker EJE, open 5, close 4, change -1, change% -20
year 2022, quarter 1, ticker EJK, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker EJX, open 97, close 89, change -8, change% -8.24742268041237
year 2022, quarter 1, ticker ELN, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker EMEH, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker EMFV, open 45, close 48, change 3, change% 6.66666666666667
year 2022, quarter 1, ticker EMO, open 23, close 23, change 0, change% 0
year 2022, quarter 1, ticker EMOH, open 39, close 40, change 1, change% 2.56410256410256
year 2022, quarter 1, ticker EMT, open 60, close 58, change -2, change% -3.33333333333333
year 2022, quarter 1, ticker ENN, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker ENP, open 25, close 26, change 1, change% 4
year 2022, quarter 1, ticker EOA, open 46, close 46, change 0, change% 0
year 2022, quarter 1, ticker EOV, open 26, close 26, change 0, change% 0
year 2022, quarter 1, ticker EPAW, open 20, close 21, change 1, change% 5
year 2022, quarter 1, ticker EPL, open 48, close 48, change 0, change% 0
year 2022, quarter 1, ticker EPX, open 16, close 15, change -1, change% -6.25
year 2022, quarter 1, ticker EQR, open 141, close 130, change -11, change% -7.80141843971631
year 2022, quarter 1, ticker ERC, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker ERQ, open 23, close 20, change -3, change% -13.0434782608696
year 2022, quarter 1, ticker ETPT, open 1, close 1, change 0, change% 0
year 2022, quarter 1, ticker ETU, open 28, close 28, change 0, change% 0
year 2022, quarter 1, ticker EUF, open 11, close 12, change 1, change% 9.09090909090909
year 2022, quarter 1, ticker EUG, open 111, close 109, change -2, change% -1.8018018018018
year 2022, quarter 1, ticker EUMZ, open 60, close 57, change -3, change% -5
year 2022, quarter 1, ticker EV, open 22, close 21, change -1, change% -4.54545454545455
year 2022, quarter 1, ticker EVB, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker EVJ, open 93, close 94, change 1, change% 1.0752688172043
year 2022, quarter 1, ticker EWW, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker EXM, open 81, close 76, change -5, change% -6.17283950617284
year 2022, quarter 1, ticker EXMY, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker EXW, open 37, close 36, change -1, change% -2.7027027027027
year 2022, quarter 1, ticker FBH, open 24, close 25, change 1, change% 4.16666666666667
year 2022, quarter 1, ticker FBIW, open 13, close 12, change -1, change% -7.69230769230769
year 2022, quarter 1, ticker FBN, open 21, close 21, change 0, change% 0
year 2022, quarter 1, ticker FBO, open 216, close 214, change -2, change% -0.925925925925926
year 2022, quarter 1, ticker FBT, open 12, close 13, change 1, change% 8.33333333333333
year 2022, quarter 1, ticker FCB, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker FCLI, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker FCQ, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker FCZ, open 13, close 13, change 0, change% 0
year 2022, quarter 1, ticker FD, open 60, close 57, change -3, change% -5
year 2022, quarter 1, ticker FDS, open 34, close 35, change 1, change% 2.94117647058824
year 2022, quarter 1, ticker FEG, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker FFE, open 25, close 25, change 0, change% 0
year 2022, quarter 1, ticker FGB, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker FGE, open 4, close 4, change 0, change% 0
year 2022, quarter 1, ticker FHHF, open 7, close 7, change 0, change% 0
year 2022, quarter 1, ticker FHI, open 18, close 17, change -1, change% -5.55555555555556
year 2022, quarter 1, ticker FHR, open 46, close 46, change 0, change% 0
year 2022, quarter 1, ticker FII, open 18, close 18, change 0, change% 0
year 2022, quarter 1, ticker FJF, open 119, close 120, change 1, change% 0.840336134453782
year 2022, quarter 1, ticker FKLS, open 11, close 12, change 1, change% 9.09090909090909
year 2022, quarter 1, ticker FLK, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker FMBX, open 14, close 13, change -1, change% -7.14285714285714
year 2022, quarter 1, ticker FMTE, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker FMV, open 54, close 52, change -2, change% -3.7037037037037
year 2022, quarter 1, ticker FNC, open 21, close 22, change 1, change% 4.76190476190476
year 2022, quarter 1, ticker FNDH, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker FNF, open 169, close 165, change -4, change% -2.36686390532544
year 2022, quarter 1, ticker FOC, open 21, close 21, change 0, change% 0
year 2022, quarter 1, ticker FOJ, open 8, close 9, change 1, change% 12.5
year 2022, quarter 1, ticker FPC, open 87, close 83, change -4, change% -4.59770114942529
year 2022, quarter 1, ticker FRB, open 26, close 29, change 3, change% 11.5384615384615
year 2022, quarter 1, ticker FRL, open 26, close 26, change 0, change% 0
year 2022, quarter 1, ticker FSAN, open 21, close 21, change 0, change% 0
year 2022, quarter 1, ticker FSO, open 19, close 16, change -3, change% -15.7894736842105
year 2022, quarter 1, ticker FTBB, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker FTDL, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker FVG, open 18, close 18, change 0, change% 0
year 2022, quarter 1, ticker FVO, open 19, close 19, change 0, change% 0
year 2022, quarter 1, ticker FVY, open 365, close 360, change -5, change% -1.36986301369863
year 2022, quarter 1, ticker FWJ, open 28, close 29, change 1, change% 3.57142857142857
year 2022, quarter 1, ticker FWO, open 52, close 52, change 0, change% 0
year 2022, quarter 1, ticker FXDI, open 17, close 21, change 4, change% 23.5294117647059
year 2022, quarter 1, ticker FXI, open 70, close 73, change 3, change% 4.28571428571429
year 2022, quarter 1, ticker FXV, open 54, close 56, change 2, change% 3.7037037037037
year 2022, quarter 1, ticker FXW, open 43, close 43, change 0, change% 0
year 2022, quarter 1, ticker FYM, open 35, close 36, change 1, change% 2.85714285714286
year 2022, quarter 1, ticker FYNS, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker FZB, open 40, close 42, change 2, change% 5
year 2022, quarter 1, ticker FZI, open 103, close 110, change 7, change% 6.79611650485437
year 2022, quarter 1, ticker FZL, open 32, close 31, change -1, change% -3.125
year 2022, quarter 1, ticker FZN, open 20, close 19, change -1, change% -5
year 2022, quarter 1, ticker FZRQ, open 11, close 12, change 1, change% 9.09090909090909
year 2022, quarter 1, ticker GAO, open 37, close 34, change -3, change% -8.10810810810811
year 2022, quarter 1, ticker GBB, open 26, close 25, change -1, change% -3.84615384615385
year 2022, quarter 1, ticker GBI, open 25, close 25, change 0, change% 0
year 2022, quarter 1, ticker GBO, open 23, close 24, change 1, change% 4.34782608695652
year 2022, quarter 1, ticker GBY, open 136, close 135, change -1, change% -0.735294117647059
year 2022, quarter 1, ticker GCMP, open 22, close 25, change 3, change% 13.6363636363636
year 2022, quarter 1, ticker GCO, open 55, close 58, change 3, change% 5.45454545454545
year 2022, quarter 1, ticker GDI, open 23, close 23, change 0, change% 0
year 2022, quarter 1, ticker GDJ, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker GEX, open 25, close 25, change 0, change% 0
year 2022, quarter 1, ticker GF, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker GFD, open 8, close 7, change -1, change% -12.5
year 2022, quarter 1, ticker GFOT, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker GFQ, open 6, close 5, change -1, change% -16.6666666666667
year 2022, quarter 1, ticker GG, open 22, close 21, change -1, change% -4.54545454545455
year 2022, quarter 1, ticker GGI, open 48, close 49, change 1, change% 2.08333333333333
year 2022, quarter 1, ticker GGU, open 30, close 31, change 1, change% 3.33333333333333
year 2022, quarter 1, ticker GGX, open 14, close 13, change -1, change% -7.14285714285714
year 2022, quarter 1, ticker GHET, open 36, close 36, change 0, change% 0
year 2022, quarter 1, ticker GIMA, open 47, close 48, change 1, change% 2.12765957446809
year 2022, quarter 1, ticker GIQ, open 8, close 9, change 1, change% 12.5
year 2022, quarter 1, ticker GIW, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker GIX, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker GJQ, open 38, close 38, change 0, change% 0
year 2022, quarter 1, ticker GKC, open 151, close 154, change 3, change% 1.98675496688742
year 2022, quarter 1, ticker GKF, open 40, close 44, change 4, change% 10
year 2022, quarter 1, ticker GKI, open 10, close 10, change 0, change% 0
year 2022, quarter 1, ticker GKW, open 33, close 30, change -3, change% -9.09090909090909
year 2022, quarter 1, ticker GLCP, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker GLG, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker GLY, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker GME, open 18, close 18, change 0, change% 0
year 2022, quarter 1, ticker GMO, open 50, close 50, change 0, change% 0
year 2022, quarter 1, ticker GMQ, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker GNV, open 25, close 23, change -2, change% -8
year 2022, quarter 1, ticker GPK, open 56, close 57, change 1, change% 1.78571428571429
year 2022, quarter 1, ticker GPW, open 54, close 52, change -2, change% -3.7037037037037
year 2022, quarter 1, ticker GQ, open 8, close 7, change -1, change% -12.5
year 2022, quarter 1, ticker GQAY, open 124, close 131, change 7, change% 5.64516129032258
year 2022, quarter 1, ticker GRC, open 57, close 61, change 4, change% 7.01754385964912
year 2022, quarter 1, ticker GSJM, open 27, close 27, change 0, change% 0
year 2022, quarter 1, ticker GSM, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker GTK, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker GTS, open 31, close 31, change 0, change% 0
year 2022, quarter 1, ticker GVI, open 67, close 64, change -3, change% -4.47761194029851
